"","subID","condition","Hz","frontal","central","parietal","occipital","ln_Hz","ln_frontal","ln_central","ln_parietal","ln_occipital"
"1","oa01","oa01",0.997,19.1307,24.8493333333333,16.43702,42.9112666666667,-0.00300450902029872,2.95129437452342,3.21283092455031,2.7995361079907,3.75913441771636
"2","oa01","oa01",1.994,3.74176,4.92626666666667,4.48886,7.12946666666667,0.690142671539647,1.31955608896982,1.59458143275742,1.50159877196661,1.96423643031942
"3","oa01","oa01",2.991,1.8297,2.5773,2.5651,3.7105,1.09560777964781,0.604152018988383,0.946742339329984,0.941997464217561,1.31116663842805
"4","oa01","oa01",3.988,1.24304,1.69746666666667,1.5785,2.38206666666667,1.38328985209959,0.217559992219974,0.529136943537244,0.456475029015909,0.867968458226879
"5","oa01","oa01",4.985,0.85352,1.10093333333333,0.91234,1.3704,1.6064334034138,-0.158386304098931,0.0961583048930267,-0.0917425513655312,0.315102668027773
"6","oa01","oa01",0.997,47.42756,36.2038,26.1548,77.8146333333333,-0.00300450902029872,3.85920349433258,3.5891640856982,3.26403273007187,4.3543295026152
"7","oa01","oa01",1.994,8.8729,4.88703333333333,4.76896,11.4198666666667,0.690142671539647,2.18300168764431,1.58658543908189,1.56212825177829,2.43535452873647
"8","oa01","oa01",2.991,2.82012,1.885,2.32626,5.27386666666667,1.09560777964781,1.03677943723615,0.633927820899974,0.844261827729189,1.66276380635757
"9","oa01","oa01",3.988,1.54688,1.0991,1.51408,3.61376666666667,1.38328985209959,0.436239999092926,0.0944916630927176,0.414807993777785,1.28475062635208
"10","oa01","oa01",4.985,1.14928,0.7588,0.80208,2.1107,1.6064334034138,0.139135659344354,-0.276017040921278,-0.220546925466944,0.747019646024435
"11","oa02","oa02",0.997,255.92498,60.6920333333333,524.78376,495.558233333333,-0.00300450902029872,5.54488435465794,4.10581244288405,6.26298629202912,6.20568487125074
